universe,screen_rule,controller,split_id,cost_bps,n_assets,ann_return,ann_vol,sharpe,max_dd,turnover
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,7,10.0,10,0.2808039513587657,0.21639349473045227,1.297654311222469,-0.08337935012165221,1.6056439970606626
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,8,10.0,10,0.4627608360986044,0.2202538407252243,2.1010341275901583,-0.07388344890658327,2.9821494578390078
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,9,10.0,10,-0.02462778765847773,0.17440399360725756,-0.1412111451633162,-0.05952154585621727,0.568615815589083
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,10,10.0,10,1.0603406476345536,0.4080425797554901,2.5986029405738473,-0.137369327557464,5.105622390917076
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,11,10.0,10,0.3109256105496705,0.25145243055931094,1.2365186125138485,-0.09831781932542172,2.173665985565831
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,12,10.0,10,-0.37387189442369273,0.2578865675103792,-1.4497532695540483,-0.17527967537640887,0.6055579671364122
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,13,10.0,10,0.5076990614722692,0.29448279712982595,1.7240364001525037,-0.13043435997444597,2.50074915865441
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,14,10.0,10,0.45092241151917545,0.1711199898039025,2.6351241139815493,-0.04591966818037929,2.568208586348498
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,15,10.0,10,0.47594696279518267,0.22892927423020026,2.0790131117723036,-0.04726282157852113,4.610547678875809
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,16,10.0,10,0.17118721260227332,0.1648077976797237,1.0387082104810856,-0.06275104662752584,3.84292039913164
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,17,10.0,10,0.1407430487163457,0.24340009405148502,0.5782374458984263,-0.11166730119110246,7.087519619600334
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,18,10.0,10,0.7134087242204878,0.24360117071756013,2.9285931677426573,-0.09030215744718484,2.7453605482709236
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,19,10.0,10,-0.03877341306359927,0.1406615734355093,-0.2756503579216715,-0.079145505703206,4.352735869558379
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,20,10.0,10,0.026600477016944346,0.21089742770998038,0.12612992631374512,-0.0958626088745782,4.111079181371991
liquid_us_equity_250,momentum_63_top10,CMVT_lam2.0_gam1.0,21,10.0,10,0.2495498919435439,0.40190071898357427,0.620924223708896,-0.15674094155448592,4.9161665981386715
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,0,10.0,10,0.3603442061877118,0.11054585354516801,3.2596808892268294,-0.03575619931475582,2.416471305367918
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,1,10.0,10,-0.25862615631810826,0.203574998525093,-1.2704219977432991,-0.07284250843030571,4.767860316391729
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,2,10.0,10,0.5999595735007501,0.12673143727224467,4.734102180244212,-0.028079992842387935,7.487241651146922
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,3,10.0,10,-0.5580758649973157,0.5789821610527613,-0.9638912949953489,-0.31090126481985625,3.196032133611653
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,4,10.0,10,1.2618459614756583,0.36627011509804547,3.445123993079355,-0.08406555174690578,5.980454943694768
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,5,10.0,10,0.17513853865442908,0.15220516490064584,1.1506740836791094,-0.06838738061355865,5.430638864864422
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,6,10.0,10,1.060873776438286,0.20465119587915687,5.183814205803765,-0.051392088574369166,7.344003749199584
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,7,10.0,10,0.476878358145842,0.20643625181422787,2.310051427269059,-0.06677814997057208,8.072214035543535
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,8,10.0,10,0.34355796338940703,0.19356949262324988,1.7748559379463238,-0.053108889986029806,9.683895366299192
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,9,10.0,10,-0.034226805120597614,0.17498316639975606,-0.1956005587543747,-0.05895133314426282,7.054053667669022
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,10,10.0,10,0.6281333554973503,0.2526396096621581,2.4862821642846678,-0.09167344215155626,9.370164338661988
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,11,10.0,10,0.013733040660698137,0.22595632742478142,0.06077741135710816,-0.10885638494829908,9.12329510014711
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,12,10.0,10,-0.3432600506075154,0.23360663998689743,-1.469393381221094,-0.17787858446006333,12.42504464639602
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,13,10.0,10,-0.03362221203962079,0.1841366782577217,-0.18259377956400308,-0.07435282950179167,14.752122871029338
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,14,10.0,10,0.570187725823331,0.16136586248482654,3.53350899031332,-0.06643863810652861,10.380027104565318
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,15,10.0,10,0.2264865547454047,0.24240370588309576,0.9343361889594964,-0.0960747424784254,11.982310797796947
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,16,10.0,10,-0.0023923654594244503,0.14553767693760788,-0.016438117673361112,-0.0618441308588179,13.160748253471166
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,17,10.0,10,0.11540286244566911,0.16866482859038578,0.6842141506884564,-0.0788515762076285,12.920787890625602
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,18,10.0,10,0.5440914655706859,0.15578324966905754,3.4926185371216034,-0.06647087702332732,16.30177375725409
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,19,10.0,10,0.2545976795311753,0.1282792240282271,1.9847148395064176,-0.05077253210849264,13.166471426126854
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,20,10.0,10,0.00881175369824616,0.14884874265928338,0.0591993828147892,-0.06042071751496558,14.879956228453374
liquid_us_equity_250,momentum_63_top10,HRB_lb126_ct0.5,21,10.0,10,0.41740279869272845,0.26216298213573325,1.5921500254945553,-0.14799690218670092,17.87703813702663
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,0,10.0,10,0.2704339430401559,0.11111228062544026,2.4338798692230554,-0.04375617255644304,3.8789442647157415
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,1,10.0,10,-0.2884340018033078,0.20721861112417073,-1.3919309671903881,-0.096543142249649,5.2938825394084486
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,2,10.0,10,0.492636674482807,0.10829266437661031,4.549123223757901,-0.02706698473248137,3.27909095373675
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,3,10.0,10,-0.6506505543689283,0.5935516756208353,-1.0961986649052473,-0.3348256565149983,4.27569253316251
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,4,10.0,10,1.2497779451943432,0.36694211467691024,3.405926698523982,-0.08382282448063116,7.621067204582757
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,5,10.0,10,0.20405427833180845,0.14838272677884823,1.3751888967140946,-0.06501807885637656,3.168548455974342
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,6,10.0,10,1.1405663937426298,0.23382225868796142,4.8779205202181,-0.05661696883848821,4.177573384177422
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,7,10.0,10,0.4647630577668682,0.2148500872190349,2.1631969704107656,-0.06833996524435182,6.48040288909062
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,8,10.0,10,0.3728032380481796,0.20668750325342014,1.8037047822348542,-0.0732671538238695,4.867955941489271
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,9,10.0,10,-0.04095964029882815,0.20688170791865243,-0.19798579927973053,-0.06268056957742418,7.844526402532659
liquid_us_equity_250,momentum_63_top10,HRB_lb63_ct0.3,10,10.0,10,0.6328814605684836,0.21929428308391347,2.885991607557886,-0.06411504293755166,7.902604598866167
